Producto,Laboratorio,Mar 2020,Abr 2020,May 2020,Jun 2020,Jul 2020,Ago 2020,Sep 2020,Oct 2020,Nov 2020,Dic 2020,Ene 2021,Feb 2021,Mar 2021,Abr 2021,May 2021,Jun 2021,Jul 2021,Ago 2021,Sep 2021,Oct 2021,Nov 2021,Dic 2021,Ene 2022,Feb 2022
NIDO LCH PVO 1920GR DESLACTOSADA+ PROMO 360G,NESTLE,2882,19298,16842,15268,5683,8640,9825,8195,18447,11605,8492,4690,8376,3680,14019,10580,7639,6064,14601,20548,18458,3752,17015,5074
NIDO LCH PVO 1920GR+12 CRAYOLAS,NESTLE,3205,6164,4016,5984,4702,3313,4478,1978,5785,2220,5993,3871,5883,1901,5623,1307,971,3209,1085,2998,3465,3047,5304,2559
NIDO LCH PVO 2.160GR + CRAYOLAS,NESTLE,15252,2524,14244,9533,16531,17679,16077,8488,11518,12230,3900,4934,1991,6177,2171,15741,16340,17106,3633,9239,4680,3639,15602,13598
NIDO LCH PVO 2000GR BSA FORTIGROW,NESTLE,2,0,2,1,2,0,1,0,2,0,1,0,1,0,1,2,0,0,1,0,1,0,0,0
NIDO LCH PVO 2200GR,NESTLE,18,24,75,23,2,90,95,14,98,25,4,60,61,103,17,33,45,33,101,60,76,67,11,41
NIDO LCH PVO 2200GR + NIDO CLASICA 360GR,NESTLE,31,9,0,5,45,54,10,8,41,52,11,12,42,16,41,54,17,54,1,37,47,53,62,7
NIDO LCH PVO 2200GR BSA,NESTLE,3,0,1,3,7,7,5,0,6,3,2,5,6,0,0,3,1,6,2,7,6,7,5,4
NIDO LCH PVO 2200GR FORTIFICADA + GISES,NESTLE,1,0,2,1,2,1,0,2,2,0,2,0,2,2,0,1,1,2,2,2,2,2,2,2
NIDO LCH PVO 2300GR,NESTLE,0,7,1,3,8,5,0,2,4,3,7,6,5,5,1,4,5,8,4,8,6,3,2,2
NIDO LCH PVO 2400GR FORTIFICADA,NESTLE,2426,8730,6542,18430,12093,20651,17855,6482,7518,22919,10710,10073,23178,1843,12879,17215,9260,14302,26279,21392,24248,24642,4175,1451
NIDO LCH PVO 240GR BSA,NESTLE,1419,1782,2159,1113,2093,1672,2573,766,2348,1619,1483,836,786,1151,2605,1277,2302,1789,2023,1989,1955,1348,1410,1313
NIDO LCH PVO 2520GR FORTIGROW LTA,NESTLE,2,2,1,3,1,0,1,3,3,3,1,3,2,2,0,3,3,2,2,3,3,2,0,1
NIDO LCH PVO 360GR,NESTLE,2807,9082,1667,7129,2630,6777,13115,3753,9790,3848,4288,9721,5549,9174,2271,7351,12353,4178,131,9763,11431,3434,7853,6986
NIDO LCH PVO 380GR,NESTLE,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1
NIDO LCH PVO 460GR FORTIGROW DESLACT BSA,NESTLE,6624,11198,8636,11573,8256,15351,13574,8029,6624,8486,9984,11161,9595,8572,7822,7036,10670,12427,11533,10775,12195,15214,7891,9945
NIDO LCH PVO 480GR BSA,NESTLE,12665,4117,1393,807,2838,9532,3891,9964,9693,3855,10494,6298,12564,8542,8998,1873,8790,8659,4340,277,2984,10578,13564,14254
NIDO LCH PVO 520GR BSA,NESTLE,2141,1077,1405,127,1390,2083,841,279,1192,578,1180,2437,2311,199,552,387,189,2245,2200,1496,319,2668,119,2470
NIDO LCH PVO 800GR,NESTLE,5078,3745,2094,2374,1813,3458,2135,411,1452,805,2119,4135,2063,1076,2947,1439,5171,4381,3463,990,5130,3162,1703,176
NIDO LCH PVO 800GR 10%DESCUENTO,NESTLE,0,2,0,1,1,0,3,2,0,0,1,2,3,3,1,1,1,0,0,3,2,2,1,0
NIDO LCH PVO 800GR DESLACTOSADA,NESTLE,19279,13672,15029,17553,17033,17314,15759,12450,16416,14354,10245,11503,10190,13290,9934,10326,12309,19185,14965,14244,9848,11343,14971,10216
NIDO LCH PVO 800GR SEMIDESCREMADA,NESTLE,3,2,3,3,1,2,3,1,2,2,1,1,1,3,0,0,1,0,3,2,3,0,0,0
NIDO LCH PVO 800GR+6 HUEVOS,NESTLE,17,13,8,6,16,8,11,7,6,17,12,5,7,12,0,2,17,11,0,9,10,15,3,3
NIDO LCH PVO 840GR,NESTLE,11512,12721,17437,13757,19435,8692,15816,15587,2538,14002,9080,13108,15835,9912,6465,18494,6197,9079,6944,11899,6188,9211,3188,9192
NIDO LCH PVO FORTICRECE 1080GR,NESTLE,3493,6063,3655,5389,5251,3601,901,2324,4471,6442,3282,6016,6320,6590,3480,2849,2146,3713,5947,1076,453,546,4650,4078
NIDO LCH PVO FORTICRECE 120BSA,NESTLE,3825,4041,1506,3816,3763,3811,417,3341,528,1495,2456,2473,4498,2903,3089,2318,1076,4286,2749,1875,3579,3516,3752,67
NIDO LCH PVO FORTICRECE 2.040 GR +DISNEY,NESTLE,3193,2818,4347,3006,2771,9794,4055,10087,11938,11633,11273,2261,11464,6874,11438,8711,2291,1672,7232,7033,2231,5601,8917,11592
NIDO LCH PVO FORTICRECE 480GR,NESTLE,4282,2656,5564,3121,6103,5371,86,895,4470,3591,2446,830,1137,3942,3301,4199,5536,4528,2584,425,131,4840,4004,3910
NIDO LCH PVO FORTICRECE 720GR,NESTLE,8006,15072,6530,2851,8980,17995,2711,16101,18197,2701,14057,11580,76,12954,6662,5458,15596,2386,4508,10409,11989,5316,11240,12490
NIDO LCH PVO FORTIGROW 204GR,NESTLE,51989,50791,32276,50250,11105,31642,40817,17591,34934,11285,24366,30632,952,29089,48439,37855,43875,23364,12762,198,18364,51788,25209,20201
NIDO LCH PVO FORTIGROW 2160GR,NESTLE,10483,25521,34218,23236,56034,61470,40494,58795,26075,58867,25586,42143,38826,21247,13851,48305,27459,19750,57366,37382,53580,35519,66073,61872
NIDO LCH PVO FORTIGROW 2160GR+CALCETA,NESTLE,6385,1488,767,3575,4291,5518,8880,3314,6633,1860,8410,1787,2084,2714,2900,6513,4495,207,1049,3445,8389,524,9187,3162
NIDO LCH PVO FORTIGROW 2160GR+LATA GTS 360GR,NESTLE,41,6,35,4,13,23,42,50,22,25,39,39,33,44,54,31,51,30,12,26,31,54,22,47
NIDO LCH PVO FORTIGROW 2760GR,NESTLE,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1
NIDO LCH PVO FORTIGROW DESLACT 120GR BSA,NESTLE,2999,8196,4911,9925,3475,9366,10181,5797,8956,1515,1236,3904,8958,5293,3704,2864,440,105,5956,2496,10713,4235,8522,1740
NIDO LCH PVO NUTRI RINDES 460GR BOLSA,NESTLE,489,236,288,443,498,1456,863,1077,310,346,945,401,964,903,1120,892,1263,815,846,348,268,368,665,832
PRE-NAN POLVO 400 G,NESTLE,16994,19606,12838,12378,12537,18944,14370,20498,19482,13638,15716,12736,14455,14241,20120,13254,16903,15326,14632,13189,16088,20343,16646,20587
SIMILAC NEOSURE POLVO 370 G,ABBOTT,882,965,596,848,616,1085,1127,1107,1105,789,742,1133,962,1153,914,684,791,703,655,675,956,652,958,659
