Producto,Laboratorio,Mar 2020,Abr 2020,May 2020,Jun 2020,Jul 2020,Ago 2020,Sep 2020,Oct 2020,Nov 2020,Dic 2020,Ene 2021,Feb 2021,Mar 2021,Abr 2021,May 2021,Jun 2021,Jul 2021,Ago 2021,Sep 2021,Oct 2021,Nov 2021,Dic 2021,Ene 2022,Feb 2022
FRISOLAC GOLD 2 PVO 400 G,PISA,11640,12093,9762,8341,11374,10786,10048,12125,9625,12492,12417,12074,11273,11557,10648,9657,10651,9161,10670,8575,7501,8490,8761,10441
FRISOLAC GOLD POLVO>2 800G,PISA,3634,10454,6912,18735,21329,19886,23527,24593,140,9890,4011,789,1475,5875,15964,8968,117,6856,4873,6767,2801,1015,23132,3010
FRISOLAC GOLD POLVO>2 900G,PISA,7002,21245,6888,6933,10118,9944,6238,19132,17533,14021,12667,20681,20950,10124,17580,10539,1845,8443,16705,14158,13250,2813,1853,8423
FRISOLAC GOLD PVO<2 BLSA 3 400 G,PISA,6459,1741,1213,5707,6279,5822,7058,1291,1442,603,7900,1756,5648,7360,6230,3873,4575,6282,2140,4033,6950,7690,3807,7046
GOOD START OPTI SU POLVO 2 1.2 KG,NESTLE,7345,7449,7244,6795,8768,7898,6446,6122,6481,6987,8716,6470,6506,5701,5060,8169,7594,6239,8587,8225,7876,6333,5784,8371
GOOD START OPTI SU POLVO 2 400 G,NESTLE,1386,1307,1008,962,1487,799,1232,1393,1037,912,838,1104,743,766,864,939,1134,1061,941,1056,1060,891,1281,1388
GOOD START OPTI SU POLVO 2 800 G,NESTLE,8184,6678,7599,5662,9248,8351,6441,9403,6999,5475,7981,8624,8904,5263,6727,7317,9408,6307,6710,6785,6374,8121,7531,6394
GOOD START SUPRE POLVO 2 900 G,NESTLE,8,8,4,7,8,9,5,2,2,1,1,3,2,1,3,9,2,3,9,0,5,7,9,6
GOOD START SUPREM POLVO 2 1.1 K,NESTLE,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0
INFACARE LECHE ETAP 2 400 G,SANULAC,2387,6746,5528,8024,6713,7002,6132,5594,4175,2085,6700,4107,4043,3906,4123,7510,1971,4644,4917,8087,4600,6020,2438,7845
KABRITA LCH PVO CABRA ET 2 400GR,AUSNUTRIA,575,583,390,209,837,42,554,693,387,186,105,126,699,431,782,450,88,269,268,119,542,150,454,12
NAN 2 BIFIDUS POLVO >2 400 G,NESTLE,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1
NAN 2 BIFIDUS POLVO 900 G,NESTLE,29,105,337,62,266,318,277,295,318,307,2,129,198,121,185,445,191,165,5,350,42,232,307,213
NAN 2 SUPREME PRO POLVO 400G,NESTLE,2043,3864,4270,2388,3474,1442,3274,4668,1190,2399,1621,3842,4824,2730,1002,4909,2661,1323,4925,1253,1398,2437,2798,823
NAN 2 SUPREME PRO POLVO 800G,NESTLE,2027,1243,1767,978,1227,1912,289,1806,2148,1575,976,606,988,186,2138,1479,1545,1941,2138,1731,908,2117,498,270
NAN 2 SUPREME PRO POLVO KIT 800+400G 2PZAS,NESTLE,2432,2429,1195,1704,1377,1095,2298,583,820,2178,2114,93,2607,2152,2085,2729,1320,225,538,1230,1763,1217,2162,1210
NAN BUENAS NOCHES POLVO 400 G,NESTLE,1,0,2,0,1,0,2,2,1,2,2,2,0,2,2,0,1,1,1,0,2,1,1,2
NAN NATURA PVO ETAP 2 658 GR,NESTLE,175,409,83,529,478,61,429,342,165,53,51,115,159,86,312,208,120,278,158,213,47,468,506,102
NAN POLVO > 2 400 G,NESTLE,41,566,1034,236,689,991,278,513,514,872,182,1058,273,33,463,993,808,1061,357,976,682,745,443,634
NAN POLVO >2 800 G,NESTLE,3657,160,4347,4570,4695,3039,878,4017,3730,4633,3345,2010,2631,4261,776,3336,1073,3660,3900,119,2535,2992,3550,1042
NAN POLVO 2 900 G,NESTLE,2,2,2,2,1,0,1,2,0,2,0,2,0,1,1,0,1,0,2,2,0,0,0,2
NAN POLVO>2 1100 G,NESTLE,1,1,2,2,2,0,1,1,2,1,1,1,0,0,2,0,2,2,2,0,1,0,0,0
NAN POLVO>2 OPTIMAL OPTI 320G,NESTLE,466,171,579,1150,124,286,398,569,593,381,1218,319,652,295,332,887,240,663,746,832,160,828,342,401
NAN PRO 2 POLVO 400 G,NESTLE,3,3,4,5,4,5,3,2,0,6,0,1,1,6,2,0,3,5,5,4,5,0,3,4
NAN PRO 2 POLVO 900 G,NESTLE,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1
NAN PVO<2 OPTIMAL PRO 360G,NESTLE,6961,2550,4338,7636,1480,8895,9489,7517,8264,479,3136,3681,7702,9080,3989,231,5141,4767,6490,3248,66,7977,9485,720
NAN PVO<2 OPTIPR 1.6 G,NESTLE,14069,409,17722,2280,9788,1016,9788,7329,1460,12742,15238,5393,9642,11118,5081,7632,1900,20079,8881,2477,7809,8202,12626,18521
NAN PVO<2 OPTIPR 230 GR,NESTLE,1888,1408,5231,6873,1405,946,6605,4381,2132,5757,2541,2714,7813,3250,1005,5197,3894,2141,4838,2408,2152,3258,1504,5909
NAN PVO<2 OPTIPR 2X 1.2 KG,NESTLE,75,100,179,26,189,41,108,62,148,219,1,8,108,107,237,14,106,62,116,97,54,209,49,196
NAN PVO<2 OPTIPR 2X 700 G,NESTLE,5,4,3,1,3,6,7,7,5,6,6,6,4,1,7,6,7,1,7,6,7,0,3,5
NAN PVO<2 OPTIPR 360 G,NESTLE,8499,25095,25423,10497,20954,7085,11519,28186,16526,26058,16158,16680,11776,7438,21472,7341,19526,26236,23702,19056,17591,8603,27222,16768
NAN PVO<2 OPTIPR 720 G,NESTLE,6505,5393,1719,6486,1980,3519,1922,2707,7534,4590,6081,6750,2334,4494,4206,7505,3199,7381,6978,5779,6913,2819,5849,3746
NAN PVO<2 OPTIPRO OPT 1500G,NESTLE,6739,2864,5149,5371,5338,291,9543,6014,7644,4765,836,3124,10876,10006,5502,5810,232,4998,8712,7808,5982,1015,8857,5718
NAN PVO>2 OPTIPR 1.100 G,NESTLE,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0
NAN PVO>2 OPTIPR 1200 G,NESTLE,122988,88991,125538,119764,112096,127230,92395,88718,87096,120749,127439,95775,116795,123331,93247,125857,99539,96541,112933,91045,103484,113500,84687,91396
NAN PVO>2 OPTIPR 400 G,NESTLE,71119,74373,23649,78648,40406,41548,45175,29229,62221,82406,73958,37251,51780,76489,32526,55774,43731,35255,55588,34553,81259,24788,35702,64603
NAN PVO>2 OPTIPR 800 G,NESTLE,95930,89310,32343,94517,63004,87984,46184,66818,30160,65908,43298,64330,31198,64604,84283,54176,59602,54329,98085,65868,43700,71349,92262,94194
NATU BABY 2 POLVO 400G 6-12MESES,QUIMICA Y FARMACIA,592,868,589,450,1290,985,717,406,1078,529,1142,169,1110,204,731,1237,1144,1104,165,90,319,17,1090,970
NATU BABY 2 POLVO 800G 6-12MESES,QUIMICA Y FARMACIA,3173,1900,2402,2055,1398,3956,554,2837,2239,249,4238,3977,2331,2334,3600,3701,2671,2883,3920,2286,3755,881,2062,863
NATU BABY 2 POLVO 900 G,QUIMICA Y FARMACIA,1124,4624,5329,613,4545,4024,5970,2731,5478,5438,1596,3990,4727,5171,2108,159,2083,3211,548,5279,517,2320,5197,2216
NOVAMIL 2 POLVO 800 G,GENOMMA LAB,5942,6205,4900,4832,3854,3142,6310,3299,4527,5872,2830,4786,6082,6266,3148,5855,3404,5049,5283,4199,3309,4792,2925,4678
NOVAMIL 2 PVO 400 G,GENOMMA LAB,2273,2375,5004,2981,2889,3968,4892,4059,5456,3265,4176,3177,4275,4918,4128,2076,2565,2611,3943,3440,5410,2094,3854,5134
NOVAMIL S 2 PVO 400 G,GENOMMA LAB,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0
NOVAMIL SYNBIOTIC PVO PREMIU 2 400 G,GENOMMA LAB,4229,5728,5244,3061,3580,2352,5240,5075,4006,4488,2659,2182,3429,5108,3424,5640,3452,2504,5375,3028,4262,4324,2251,3194
NUTRIBABY 2 PVO 400 G,SIEGFRIED-MED,2662,3774,3555,3809,2760,3520,4324,3125,4079,2609,2650,2173,4401,3224,3384,2025,1951,2875,3440,2345,1984,4432,3869,3017
NUTRIBABY 2 PVO 900 G,SIEGFRIED-MED,7722,7460,7870,6079,6599,7648,6808,7992,7666,7215,7317,7640,6806,6412,6998,8054,7777,6310,7321,6788,7525,7063,7002,6881
NUTRILON PREMIUM POLVO ETAPA 2 6-12 MESES 800G,BIOCODEX MEXICO,230,458,9,183,419,262,299,102,142,110,277,146,123,373,183,60,4,223,122,415,105,20,440,96
PROMIL GOLD POLVO 1+1 900 G,SANULAC,0,2,1,2,2,2,2,1,0,1,1,2,0,0,1,1,0,0,0,1,1,0,1,0
PROMIL GOLD POLVO 400 G,SANULAC,677,74,979,1383,1467,121,226,977,1669,364,1087,78,1186,1168,1866,1343,305,1187,1414,981,260,1084,494,270
PROMIL GOLD POLVO 900 G,SANULAC,879,2114,5465,2186,3012,1070,2241,2472,4350,5448,2753,3403,2120,2666,4278,4691,4055,4485,4393,1189,2268,3364,2834,2609
PROMIL GOLD POLVO C/LUTE 400 G,SANULAC,386,351,1068,876,778,666,1083,737,480,408,1115,631,866,716,1126,619,1031,456,906,239,429,712,785,335
PROMIL GOLD POLVO C/LUTE 900 G,SANULAC,1672,851,812,994,1586,1169,1018,1193,1357,1983,508,1387,1115,1591,1483,747,515,1794,1091,1868,501,1609,1096,735
PROMIL GOLD PVO NF 3X900G + 1 PROMIL GOLD PV,SANULAC,0,0,4,0,0,1,3,3,0,3,1,2,4,3,3,1,0,4,3,4,4,3,4,1
PROMIL GOLD PVO NF 400 G,SANULAC,1305,716,1225,1017,733,431,432,1503,1302,1365,571,1501,988,581,1456,1323,1045,1187,1242,556,566,491,1234,386
PROMIL GOLD PVO NF 900 G,SANULAC,3406,5729,5184,5990,5351,4673,4292,5802,3443,4637,4665,3454,5971,5689,5591,4204,4440,4309,4533,6005,4231,4768,3831,4889
PROMIL POLVO 1 KG,SANULAC,1,0,1,0,2,0,2,0,0,1,1,1,0,1,0,0,1,0,0,1,2,1,2,1
RAAM POLVO 2 400 G,LAB. RAAM DE SAHUAYO,12,2,2,27,30,2,14,30,34,33,17,30,39,15,22,17,5,10,2,28,21,37,21,38
RAAM POLVO 2 900 G,LAB. RAAM DE SAHUAYO,11,7,9,12,2,21,21,1,3,9,15,12,8,20,15,7,11,1,23,10,0,11,18,26
SIMILAC 2 IQ PLUS POLVO 400 G,ABBOTT,1769,1649,1559,1228,1482,1734,1457,1833,1450,1208,1343,1188,1363,1740,1719,1527,1384,1267,1457,1213,1282,1211,1607,1208
SIMILAC 2 IQ PLUS POLVO 900 G,ABBOTT,1,1,1,1,2,1,1,0,1,2,0,1,2,2,0,1,2,0,1,0,0,2,1,1
SIMILAC 2 POLVO 850 G,ABBOTT,10299,10764,11119,10007,10386,13475,14108,13681,14399,8908,14942,16071,12047,12779,16165,10961,11599,8310,13034,9824,11644,14765,8633,9441
SIMILAC ADVANCE 2 POLVO LATA 400 G,ABBOTT,472,501,301,283,315,324,415,247,501,428,450,467,372,462,484,431,356,383,235,393,310,202,355,477
SIMILAC GAIN 2IQ P POLVO 900 G,ABBOTT,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0
WELL BEGINNINGS PVO ETAP 2 400 G,D-M MEXICANA,239,103,43,353,303,207,322,185,59,134,318,144,375,231,38,248,118,359,34,180,121,247,80,243
WELL BEGINNINGS PVO ETAP 2 900 G,D-M MEXICANA,1258,1177,1843,999,622,1688,1369,639,2060,1216,1116,677,1970,868,1530,1071,1468,1570,632,652,738,1094,1314,844
