Producto,Laboratorio,Mar 2020,Abr 2020,May 2020,Jun 2020,Jul 2020,Ago 2020,Sep 2020,Oct 2020,Nov 2020,Dic 2020,Ene 2021,Feb 2021,Mar 2021,Abr 2021,May 2021,Jun 2021,Jul 2021,Ago 2021,Sep 2021,Oct 2021,Nov 2021,Dic 2021,Ene 2022,Feb 2022
NAN H.A 1 PVO 400 G,NESTLE,23,39,51,15,20,50,27,67,53,4,65,28,56,45,1,38,49,49,52,37,67,11,27,50
NAN H.A 2 POLVO 400 G,NESTLE,2,2,3,3,2,1,0,2,3,2,0,3,3,0,1,3,1,1,4,2,2,4,1,2
NAN H.A 2 POLVO 800 G,NESTLE,3470,2068,3697,3940,3816,3370,4990,4076,3281,3690,2399,83,1037,610,113,253,3471,4763,3692,3295,1748,1808,4428,1087
NAN H.A 2 POLVO 900 G,NESTLE,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1
NAN PREBIO AE POLVO 400 G,NESTLE,16726,14239,17854,16326,14718,19396,16373,15526,19787,19917,17267,20592,18707,14841,15775,14297,14385,18714,16951,15900,19166,14969,14331,20331
NAN PREBIO AE POLVO 900 G,NESTLE,40145,40462,38527,28206,29092,30016,31077,36943,35728,40296,40696,38431,28475,36127,40466,35861,29696,39592,37879,36214,31183,34009,34608,31846
NOVAMIL AC 1 PVO 400 G,GENOMMA LAB,3054,2275,2512,2289,2898,2429,2245,2369,2458,2190,2033,2524,2764,2036,2666,2947,2295,2518,3048,2305,2211,2020,2975,2777
NOVAMIL AC 2 PVO 400 G,GENOMMA LAB,429,619,514,410,607,766,318,525,772,620,759,461,669,791,563,481,729,426,642,377,667,730,396,636
NOVAMIL AE 1 POLVO 800 G,GENOMMA LAB,12475,13448,12369,12796,9084,7065,8737,12862,7435,6042,5572,12887,5862,5209,7013,10761,8747,10353,11274,12129,12630,9385,5350,8103
NOVAMIL AE 1 PVO 400 G,GENOMMA LAB,8198,5530,7767,3605,2683,8209,3360,8002,7177,9711,3254,7784,6790,10905,6631,5375,7048,7894,9516,9463,3059,3201,4648,5147
NOVAMIL AE 2 POLVO 800 G,GENOMMA LAB,8647,8498,9113,9948,10452,8644,8710,7735,9543,9291,6492,9507,8799,7812,6699,8075,10396,9485,6124,6655,6750,8011,7804,7879
NOVAMIL AE 2 PVO 400 G,GENOMMA LAB,6829,393,8202,6524,1491,3688,1741,6822,7534,631,5170,4179,450,6935,4665,3758,8713,2616,4352,3564,8616,3534,7391,3751
NOVAMIL AR 1 PVO 400 G,GENOMMA LAB,2640,3871,3985,1845,4048,4096,2388,4142,2599,1901,4138,3981,3207,4098,2786,3238,3613,2750,3073,4144,2834,1924,2569,1766
NOVAMIL AR 2 PVO 400 G,GENOMMA LAB,522,583,387,1030,771,1076,1007,362,1051,363,1150,396,663,715,673,982,1059,638,796,619,1095,1127,540,512
NOVAMIL AR DIGEST POLVO 400 G,GENOMMA LAB,10895,2160,10631,9957,9594,6279,1218,9163,4614,9333,4413,2271,12226,4299,3034,9223,7022,8661,9865,3686,11486,4353,8909,4610
NOVAMIL AR DIGEST POLVO 800 G,GENOMMA LAB,62,5,7,5,66,56,48,40,55,71,53,56,13,9,22,20,30,26,34,21,5,70,17,29
NUTRIBABY PREMI CO POLVO 400 G,SIEGFRIED-MED,6049,5558,5107,6273,5071,5732,5771,5995,6357,4725,5409,5567,4820,4504,5436,4125,5442,4323,5516,4162,4960,5335,5817,4747
NUTRILON A.R POLVO 400 G,BIOCODEX MEXICO,192,14,304,218,170,364,123,326,152,186,388,384,73,272,303,155,55,358,328,81,90,120,251,265
NUTRILON H.A POLVO 400 G,BIOCODEX MEXICO,41,40,60,89,52,20,31,136,11,133,24,40,33,133,81,35,83,71,144,97,90,16,140,27
NUTRILON PREM COMF POLVO 0-12 MESES 400G,BIOCODEX MEXICO,570,436,523,156,720,19,300,549,256,834,523,282,126,524,270,874,717,768,458,51,638,434,164,389
NUTRILON PREM COMF POLVO 0-12 MESES 900G,BIOCODEX MEXICO,94,65,123,372,562,279,383,446,69,428,212,140,165,376,284,29,113,55,286,326,566,587,67,509
NUTRILON PREMIU HA POLVO 0-12 MESES 400G,BIOCODEX MEXICO,34,49,24,42,109,0,64,72,88,39,24,6,88,81,94,79,0,58,92,101,24,2,53,91
SIMILAC AR 1 PVO BAJA LAC 375 G,ABBOTT,2936,3171,3178,2378,2248,2310,2735,2851,2721,2239,2445,2221,2748,2243,2897,2249,2709,2189,3134,2120,2829,3092,2134,2298
SIMILAC AR 1 PVO BAJA LAC 850 G,ABBOTT,7556,7068,8003,5769,5703,5638,5748,6169,7946,7515,6529,5782,7295,7731,7736,6192,6340,7559,8097,6264,7551,7586,8027,8205
SIMILAC TOTAL COMF POLVO 1 700 G,ABBOTT,28,56,3,46,50,21,32,46,13,14,32,33,21,23,32,35,44,11,42,20,0,45,11,44
SIMILAC TOTAL COMF POLVO H A 1 1.400 G,ABBOTT,5,4,2,2,0,5,2,1,3,3,4,2,3,0,1,5,4,4,4,1,4,0,4,0
SIMILAC TOTAL COMF POLVO H A 1 CAJA 2X820GR,ABBOTT,4015,6112,1443,3581,2166,2208,2019,3884,4734,5305,1191,2410,4093,5198,335,2421,3574,3939,3232,2725,12,4901,2439,5940
SIMILAC TOTAL COMF POLVO H A 1 M/LA 820+ 360,ABBOTT,4875,6851,4433,5727,5036,7974,8456,7937,5378,5259,8760,8503,5672,5548,6131,8308,8171,8102,5141,8145,5928,7541,5683,4982
SIMILAC TOTAL COMF PVO H A 1 360 G,ABBOTT,12221,17863,16980,17218,17722,13062,12268,15422,12360,14044,12664,18377,17532,11716,11464,14439,15614,18159,14543,18122,14543,11112,15894,13386
SIMILAC TOTAL COMF PVO H A 1 820 G,ABBOTT,26481,29971,35955,26205,23388,26925,25539,27127,28365,28722,25075,27301,30337,24061,35749,23357,28654,33986,29071,27272,32677,26087,29761,36029
