Producto,Laboratorio,Mar 2020,Abr 2020,May 2020,Jun 2020,Jul 2020,Ago 2020,Sep 2020,Oct 2020,Nov 2020,Dic 2020,Ene 2021,Feb 2021,Mar 2021,Abr 2021,May 2021,Jun 2021,Jul 2021,Ago 2021,Sep 2021,Oct 2021,Nov 2021,Dic 2021,Ene 2022,Feb 2022
ENFAGROW PREMIUM POLVO VAINIL ECON OPAQ 1200 G,MEAD JOHNSON NUTRICIONALES,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
ENFAGROW PREMIUM PVO 375 GR,MEAD JOHNSON NUTRICIONALES,38137,15219,28724,14834,18451,22441,31230,31746,21089,22186,35752,17326,28336,17958,18550,18784,32707,17276,25803,34681,33051,36162,16262,33364
ENFAGROW PREMIUM PVO RELLENA PACK 800 G,MEAD JOHNSON NUTRICIONALES,2,0,1,2,2,1,1,2,2,1,1,1,0,0,0,2,0,1,1,3,2,0,1,2
ENFAGROW PREMIUM PVO VAINILLA 1100 GR,MEAD JOHNSON NUTRICIONALES,12427,19032,20059,17082,12571,20462,19866,11735,13273,12412,14835,13777,18962,16491,13023,15237,15227,18944,12800,11517,17327,17655,14596,19162
ENFAGROW PREMIUM PVO VAINILLA 375 GR,MEAD JOHNSON NUTRICIONALES,15825,14043,15587,9902,11524,14292,10264,9381,11194,10061,10394,12579,14013,13109,9567,13025,14126,10813,15220,15916,11113,15221,13718,12107
ENFAGROW PREMIUM PVO VAINILLA 800 G,MEAD JOHNSON NUTRICIONALES,25566,41358,31055,31601,38083,41811,31896,30437,29849,37560,44735,27182,32481,45837,38111,30839,36712,26204,42641,39019,24619,22096,23826,38233
ENFAGROW PREMIUM PVO VAINILLA 950+ 150G MI LATA,MEAD JOHNSON NUTRICIONALES,3608,2962,3739,2986,1972,969,843,642,111,448,3428,2920,2133,3726,2580,348,1504,1688,2327,3329,2277,2721,461,2792
ENFAGROW PREMIUN POLVO VAINIL 900 G,MEAD JOHNSON NUTRICIONALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRISO GOLD 3 PVO 900 G,PISA,17739,32638,35818,19004,16965,39539,26402,3130,14767,9929,2763,25266,38579,3084,21828,22327,8010,18198,13317,15773,15262,43239,21801,15958
FRISO GOLD POLVO ETAP 3 PACK 900G+400G,PISA,344,354,126,222,26,209,211,50,203,97,28,358,66,62,11,48,225,203,73,291,10,363,328,122
FRISO GOLD PVO 3 JOVEN EXPL ORAD 400 G,PISA,4277,4042,5279,4871,2177,2738,4283,5512,3169,4108,4831,2867,3448,2322,4940,4690,2263,5542,3173,4672,5235,4902,4175,2877
FRISO GOLD PVO ETAP 3 1.8 KG,PISA,32,3,35,28,53,43,1,56,13,43,21,6,43,48,25,5,8,29,13,32,47,20,4,24
FRISO GOLD PVO ETAP 3 400G,PISA,1503,425,2840,339,1657,1461,1873,534,240,1874,1972,220,102,2789,2175,28,934,665,2698,1234,3095,2525,2915,898
FRISO GOLD PVO ETAP 3 800GR,PISA,6878,42562,23702,24521,27363,49725,26588,17299,40330,25088,723,50276,14740,11650,47940,38645,44874,37549,16297,13775,47822,1278,22474,18296
FRISOLAC GOLD PVO<3 BLSA 3X 400 G,PISA,16067,3297,18654,4667,8381,2519,9383,18151,14066,6153,16430,7989,2980,12673,9062,14707,9581,21544,8889,13334,8832,9859,15369,3705
GAIN PLUS ADV 3 IQ PVO 400 G,ABBOTT,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0
GOOD CARE 3 OPTIPR POLVO 1.1 KG+TO ALL+ BSA,NESTLE,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1
GOOD CARE OPTI SUP POLVO 3 1.1 G+LTA VIAJ 36,NESTLE,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0
GOOD CARE OPTI SUP POLVO 3 1200 G,NESTLE,17584,12273,11868,22299,12870,19022,19449,20317,23175,27454,14537,16486,12174,24858,13970,27680,21017,12872,27286,17117,28678,16239,21231,27929
GOOD CARE OPTI SUP POLVO 3 800 GR,NESTLE,5997,8170,7127,11825,12515,11324,5692,7639,7548,6578,5678,11666,9815,12533,13578,12523,6870,12610,10830,13311,12182,9344,5889,9409
GOOD CARE OPTIP SU POLVO 3 1.1 KG,NESTLE,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1
GOOD CARE SUPREM 3 POLVO 1.1 K,NESTLE,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0
INFACARE LECHE ETAP 3 400 G,SANULAC,6587,3347,6469,2010,2231,2603,2278,1724,4927,4966,4179,3896,5314,2535,4401,6277,5182,1769,5559,6292,2852,3304,2928,2743
KABRITA LCH PVO CABRA ET 3 400GR,AUSNUTRIA,0,238,376,272,23,124,622,329,148,301,309,85,559,395,275,562,546,579,690,112,735,547,248,733
NAN 3 DESARROLLO POLVO 400 G,NESTLE,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0
NAN 3 LCONFORTIS POLVO 800G +350G,NESTLE,0,0,14,25,28,13,23,12,4,5,31,26,3,6,4,0,15,7,9,13,27,4,31,11
NAN 3 LCONFORTIS POLVO 800G +NEST UM 270G,NESTLE,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0
NAN 3 LCONFORTIS POLVO DHA 1.5KG +10%,NESTLE,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1
NAN 3 LCONFORTIS POLVO DHA 2 800 G,NESTLE,988,4519,3302,1610,4453,542,2169,3308,3574,789,4970,419,1897,2236,2131,1116,3300,1727,2135,183,1320,166,2019,607
NAN 3 LCONFORTIS POLVO DHA DIVE RTILA 1500 G+ JUE,NESTLE,1,1,1,1,2,2,1,1,1,2,0,0,2,0,2,2,0,2,2,1,2,2,1,0
NAN 3 LCONFORTIS PVO 800 G,NESTLE,2,2,0,0,1,1,1,2,2,0,0,2,2,2,0,2,0,0,0,0,1,2,1,0
NAN 3 LCONFORTIS PVO DHA 350 G,NESTLE,712,1008,926,631,779,527,808,549,529,886,1011,504,868,1024,576,771,893,673,582,1046,976,864,745,891
NAN 3 LCONFORTIS PVO DHA 800 G,NESTLE,4484,3933,2141,2247,2371,2343,3404,2761,2989,3114,2803,4564,2782,2720,3462,2764,2170,4383,4180,2132,2360,4560,1962,2170
NAN 3 SUPREME PRO POLVO 1.2KG,NESTLE,6835,4675,3498,2343,1198,1902,5049,3620,483,4422,6949,5072,652,4959,6635,5761,7207,4711,2328,5158,5735,5531,4192,6890
NAN 3 SUPREME PRO POLVO 800G,NESTLE,1669,343,1802,204,1490,1481,3722,24,576,224,159,3147,756,594,507,1737,373,1353,1509,1507,1670,1868,58,3002
NAN NATURA PVO ETAP 3 658 GR,NESTLE,131,23,128,164,80,34,27,37,101,113,74,9,46,52,161,108,66,78,126,137,158,113,47,120
NAN POLVO < 3 1.6 K,NESTLE,42,166,55,177,36,35,110,11,52,65,150,45,106,77,47,161,129,163,26,13,159,147,8,81
NAN POLVO 3 1.2KG + CAMBIADOR,NESTLE,1602,1093,5664,762,2651,2999,967,3324,1184,526,4151,3832,5755,918,461,3343,5830,441,3730,1364,3246,2582,3637,4746
NAN POLVO 3 1.2KG+TOALL ABSORSE 90PZ,NESTLE,13748,18288,1666,22491,1826,9609,8590,22595,9852,4627,20686,10968,3835,1908,1494,13482,20302,5917,10557,5410,7094,6956,14423,19576
NAN POLVO 3 1200 G,NESTLE,8,57,56,11,20,19,4,36,45,30,48,6,20,51,64,35,52,18,29,33,32,64,12,4
NAN POLVO 3 2 800 G,NESTLE,15939,16249,11088,16343,5836,4296,683,15816,9146,15612,8514,9779,10178,3614,13301,7865,7150,12016,10120,10703,12490,11559,2779,15342
NAN POLVO 3 800 G,NESTLE,16,46,2,36,41,35,8,3,22,19,1,28,11,16,35,43,52,7,15,33,52,14,14,5
NAN POLVO 3 MAXI LATA 2KG,NESTLE,19,34,13,31,43,21,31,39,20,43,30,25,40,35,28,32,36,40,19,27,19,35,19,32
NAN POLVO>3 PRO OPTIMA 760G,NESTLE,21910,31902,14311,23333,5560,24904,16375,21663,8611,28481,4153,11168,32859,30885,4200,18831,28089,26071,33109,8481,11114,17188,1547,32815
NAN PRO 3 POLVO 800 G,NESTLE,1,1,7,8,7,4,2,0,2,5,3,0,0,6,3,7,5,4,6,0,0,1,3,4
NAN PVO >3 OPTIPRO 1.2K + PLAYERA NI,NESTLE,11871,31411,11946,9111,577,24864,18696,19508,7024,18669,29999,29419,20911,23275,24666,26398,23147,10027,11189,16344,28801,26738,18345,28129
NAN PVO 3 1500G +350,NESTLE,0,2,2,2,1,2,1,1,2,0,2,1,1,0,0,2,1,1,1,2,1,2,2,1
NAN PVO<3 1.5+ 300GR M/LA TA +400,NESTLE,2,11,372,55,227,229,666,319,430,637,112,601,269,110,390,238,278,676,378,527,119,696,632,385
NAN PVO<3 JIRAFA 1.5+ 300G MISM LA,NESTLE,887,5115,4301,4287,1369,478,2837,3611,2019,4845,5650,2900,3574,4298,3373,577,1905,3455,860,70,5790,3667,1557,2010
NAN PVO<3 OPTIMAL PRO 360G,NESTLE,4890,296,616,1981,1639,1919,472,3772,2774,508,4296,4340,2741,3271,4836,2811,1772,4523,1271,1234,4131,958,4708,3111
NAN PVO<3 OPTIPR 1.2 KG+KI T GE RB,NESTLE,1,4,8,20,7,13,9,5,0,16,16,0,6,10,16,18,15,17,4,1,14,20,7,19
NAN PVO<3 OPTIPR 1.5 KG,NESTLE,3264,3267,3706,10113,8066,10098,5770,767,7618,2953,7326,8767,4780,4894,5345,2744,8046,2747,7166,3224,9778,7606,4067,10084
NAN PVO<3 OPTIPR 1.5OO KG+ VA SO/E,NESTLE,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0
NAN PVO<3 OPTIPR 1.6 G,NESTLE,1,2,2,0,1,2,0,1,2,1,2,0,0,2,2,1,2,2,0,2,2,0,2,0
NAN PVO<3 OPTIPR 1.65 KG,NESTLE,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0
NAN PVO<3 OPTIPR 1200 +400G,NESTLE,40471,9111,32075,6672,22076,17803,21192,19821,10986,37435,34703,339,24546,42238,30783,28082,32718,10242,8396,38036,36697,2013,12493,13312
NAN PVO<3 OPTIPR 230 GR,NESTLE,55,59,81,24,26,106,13,42,46,0,14,112,74,6,102,32,38,43,110,122,33,101,126,70
NAN PVO<3 OPTIPR 2X 1.2 KG,NESTLE,9,51,46,1,23,44,4,28,6,36,41,15,40,41,19,27,15,19,39,39,19,51,5,37
NAN PVO<3 OPTIPR 2X 720 G,NESTLE,42,101,13,45,47,16,78,85,34,55,94,78,48,91,26,82,53,96,16,74,50,36,58,47
NAN PVO<3 OPTIPR 360 G,NESTLE,6033,15449,10134,16511,4416,21385,22640,10912,9494,9016,17197,17901,14731,14799,9230,12955,17519,17380,7302,10605,10802,14202,5803,8040
NAN PVO<3 OPTIPR 720 G,NESTLE,2696,1741,3234,4183,4394,2274,5514,2028,241,2421,313,4950,2775,6674,1769,1507,3667,6109,4608,5370,3995,2618,6275,1219
NAN PVO>3 OPTIPR 1.2 KG+3 TUP PER,NESTLE,0,5,2,15,12,7,15,4,6,14,12,7,12,10,6,15,5,3,2,2,9,7,13,6
NAN PVO>3 OPTIPR 1200 G,NESTLE,153006,172774,106452,143893,151960,141653,83037,99643,132355,85296,109479,127850,157729,132047,167027,156486,168371,96840,172477,130908,102958,113093,131386,137650
NAN PVO>3 OPTIPR 350 G,NESTLE,1,0,7,4,6,6,2,2,5,4,4,0,1,1,1,1,2,0,3,2,1,6,7,1
NAN PVO>3 OPTIPR 400 G,NESTLE,40643,17651,17755,30161,29926,22619,16738,37074,5855,16459,18296,8192,31619,19656,40765,24227,35221,24351,16169,20438,39324,32496,40388,27460
NAN PVO>3 OPTIPR 800 G,NESTLE,61915,57009,40206,43439,44394,39945,67379,60286,48802,50142,81010,77967,54206,70947,26919,59692,67393,66424,38300,76422,36329,51205,66457,74427
NATU BABY 3 POLVO 400 G,QUIMICA Y FARMACIA,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1
NATU BABY 3 POLVO 800G 1-3A¥OS,QUIMICA Y FARMACIA,2267,1048,4496,4687,429,3603,5441,4402,4491,1814,3463,261,3650,157,2748,4967,3374,199,133,6169,4757,5978,2843,337
NATU BABY 3 POLVO VAIN 900 G,QUIMICA Y FARMACIA,1079,9044,8321,1649,7821,838,4828,2378,1563,488,2048,5397,7859,6666,2024,5245,6476,8395,8789,4512,1756,9064,1207,2372
NOVALAC 3 POLVO VAINIL 800 G,GENOMMA LAB,6744,9881,9541,8981,9875,8871,7784,10227,10003,9922,7494,9193,7079,9173,7532,7359,8970,9109,10030,6989,8749,9712,8560,7473
NOVAMIL AE3 POLVO 800G,GENOMMA LAB,2150,5896,2687,5149,6008,4473,1179,1203,5512,3100,898,1176,1178,2846,5058,5055,4761,5966,1717,4665,3052,1447,4726,5173
NOVAMIL SYMBIOTIC PVO PREMIU 3 800 G,GENOMMA LAB,3285,7285,6077,3442,5541,3242,4292,6450,6369,5213,4477,5980,7349,3711,6252,6392,4210,7540,7127,6444,5681,5856,7381,3536
NUTRIBABY 3 PVO 900 G,SIEGFRIED-MED,10065,11723,9589,9573,12215,11884,11293,11552,9730,9491,9356,9822,12868,12138,11460,9892,12239,11399,9404,9747,10216,11015,9276,10375
NUTRIBABY 3 PVO 900G+ SBS 450G,SIEGFRIED-MED,35,78,68,82,28,18,63,65,70,12,40,77,65,43,36,56,11,63,7,86,6,22,15,65
NUTRILON PREMIUM POLVO ETAPA 3 1-3 A¥OS 800G,BIOCODEX MEXICO,304,33,604,458,870,376,381,645,425,998,251,316,105,1143,816,159,245,481,366,379,832,218,326,526
PROGRESS GOLD EMPL PVO 2 900+ 250G,SANULAC,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1
PROGRESS GOLD POLVO 1+1 900 G,SANULAC,2460,10131,3674,10274,871,9760,8869,6661,1605,8461,4230,9210,2875,8127,4923,225,6795,4251,8297,9437,8385,5201,2103,5103
PROGRESS GOLD POLVO ETAP 3 1.8 KG,SANULAC,2008,2827,1635,7190,6885,2374,5533,7075,8197,2860,1339,4468,1616,4386,6880,2344,3542,8443,5452,2554,6162,8127,3346,8881
PROGRESS GOLD POLVO ETAP 3 1X900GR+2X400GR,SANULAC,450,1743,2091,3,3230,1294,1030,153,3098,809,509,1792,1744,2259,835,2486,1310,1827,2471,568,3018,838,3043,1754
PROGRESS GOLD POLVO ETAP 3 400 G,SANULAC,142,54,280,87,121,84,199,54,263,65,207,265,265,259,142,263,136,107,119,308,187,137,80,260
PROGRESS GOLD POLVO ETAP 3 PACK 2X1800G,SANULAC,291,6,524,580,428,325,297,554,358,370,514,537,131,37,20,464,208,176,632,372,56,339,368,201
PROGRESS GOLD PVO ET 3 C/LU 900 G,SANULAC,4631,7264,5756,6117,6338,5585,4729,7074,4548,4909,6034,6216,6798,4320,4884,7692,5126,7172,7755,5445,5781,6479,5843,7535
PROGRESS GOLD PVO ET3 C/LU 400 G,SANULAC,1813,1816,1023,1170,1563,1830,1462,1397,883,1223,1323,1467,1086,1075,1819,1863,962,1219,1950,885,1664,1216,892,1192
PROGRESS GOLD PVO ETA 3 NF 400 G,SANULAC,528,939,638,1023,1235,552,854,1068,1157,558,752,960,527,1046,560,754,1273,1189,930,984,902,952,704,1188
PROGRESS GOLD PVO ETA 3 NF 900 G,SANULAC,5715,4561,3868,4316,2928,4150,4030,3485,4314,3258,5848,4693,3621,5121,4095,3303,3416,5806,5781,4439,4689,4360,3997,3290
PROGRESS GOLD PVO ETAP 3 2X900G+1PROGRES GOLD,SANULAC,0,5,0,2,5,2,4,4,4,0,1,0,4,3,4,4,3,5,3,5,2,2,5,4
PROGRESS GOLD PVO ETAP 3 3X900G+1 GRATIS MISMA,SANULAC,14,12,4,19,4,12,3,14,10,13,4,11,0,2,5,11,13,3,10,20,19,4,8,10
PROGRESS GOLD PVO ETAP 3 900 G,SANULAC,16655,17461,20562,23943,22702,20492,14209,20960,10154,21228,18143,22144,17415,20820,19810,16817,23986,10457,18399,14538,16685,14643,16231,17409
RAAM PLUS POLVO 400 G,LAB. RAAM DE SAHUAYO,2,3,2,3,0,4,2,0,3,1,4,1,1,1,3,3,3,2,2,4,2,0,4,1
RAAM POLVO 3 400 G,LAB. RAAM DE SAHUAYO,7,6,6,7,6,4,4,6,1,6,8,6,8,6,6,4,2,8,4,6,1,7,7,2
RAAM POLVO 3 900 G,LAB. RAAM DE SAHUAYO,14,7,19,13,15,11,17,0,4,23,18,22,21,3,11,12,23,19,11,8,20,19,3,17
SIMILAC 3 IQ PLUS POLVO 400 G,ABBOTT,3372,2926,2810,3124,1778,3155,2928,2345,2194,2093,3351,3074,2345,1744,1972,2211,2701,1448,1809,2089,3179,1611,1651,2582
SIMILAC 3 POLVO 850 G,ABBOTT,23631,33738,22882,26834,15947,22656,20668,24651,16667,17689,32214,19935,32373,31154,30757,19438,15256,16903,24366,21522,19286,17256,29994,23423
SIMILAC 3 POLVO 850G+ TOALLITAS GATIS,ABBOTT,1171,2510,3070,1186,617,3319,2822,1158,3383,688,2677,2642,1887,3103,1149,847,2385,55,2185,999,96,1565,1263,3397
SIMILAC 3 POLVO 850G+ENSURE LIQD VAINILLA,ABBOTT,780,7274,3608,4455,4880,4616,7079,7002,5187,2835,7623,6896,7021,2282,6246,6455,6751,3755,3481,8269,6048,6733,5486,76
SIMILAC 3 POLVO 850G+PEDIASURE LIQD CHOCOLAT,ABBOTT,1538,1500,448,1498,735,110,321,1250,313,368,318,62,55,452,475,961,1007,12,1202,622,721,1409,1332,750
SIMILAC 3 POLVO PACK 850G+SIMILAC 400G,ABBOTT,5993,15029,17283,7009,19413,10623,8300,19804,10384,14884,14492,17983,17759,12572,18892,17516,13849,14737,12206,7235,12464,8555,13882,8135
SIMILAC 3 POLVO VAINILLA 1.8KG,ABBOTT,5129,7047,7063,5033,4935,932,5256,1424,7516,7353,1523,4333,8143,3734,1030,5356,5966,3546,2717,229,1295,559,8016,6177
SIMILAC 3 PVO 850G+ VASO ENTREND,ABBOTT,1477,360,683,1428,1606,376,804,1038,726,702,469,604,516,286,429,286,65,1533,180,768,1004,561,1375,1622
SIMILAC 3 PVO HMO 400 G,ABBOTT,52,32,50,67,52,72,44,67,76,37,45,52,35,76,82,75,35,30,44,35,62,62,54,63
WELL BEGINNINGS PVO ETAP 3 400 G,D-M MEXICANA,291,200,158,302,303,187,316,332,245,209,173,316,193,255,320,230,273,135,261,126,148,133,264,151
WELL BEGINNINGS PVO ETAP 3 900 G,D-M MEXICANA,1806,2702,1301,1593,1557,1684,1768,1250,1584,2273,1641,1105,1222,1833,1869,2374,1475,2389,2696,1891,2579,1647,2108,1230
